Lote,Centrífuga,Centrifugada (1 o 2),Volumen centrifugado (L),Turbidez
23019.0,17825,1,200,26.8
23019.0,17825,1,400,26.3
23019.0,17825,1,600,28.2
23019.0,17825,1,800,28.1
23019.0,17825,1,1000,28.4
23019.0,17825,1,1200,27.7
23019.0,17825,1,1400,28.6
23019.0,17825,1,1600,28.5
23019.0,17825,1,1800,28.9
23019.0,17825,1,2000,28.2
23019.0,17825,2,100,20.8
23019.0,17825,2,200,20.8
23019.0,17825,2,300,21.6
23019.0,17825,2,400,21.5
23020.0,14246,1,200,29.8
23020.0,14246,1,400,28.6
23020.0,14246,1,600,30.9
23020.0,14246,1,800,28.6
23020.0,14246,1,1000,27.6
23020.0,14246,1,1200,27.8
23020.0,14246,1,1400,28.3
23020.0,14246,1,1600,27.6
23020.0,14246,1,1800,28.5
23020.0,14246,1,2000,26.9
23020.0,14246,2,100,12.8
23020.0,14246,2,200,13.0
23020.0,14246,2,300,12.9
23020.0,14246,2,400,12.9
23021.0,17825,1,200,28.6
23021.0,17825,1,400,30.4
23021.0,17825,1,600,28.7
23021.0,17825,1,800,28.7
23021.0,17825,1,1000,29.2
23021.0,17825,1,1200,28.6
23021.0,17825,1,1400,29.1
23021.0,17825,1,1600,29.5
23021.0,17825,1,1800,29.1
23021.0,17825,1,2000,29.0
23021.0,17825,2,100,18.5
23021.0,17825,2,200,20.5
23021.0,17825,2,300,17.8
23021.0,17825,2,400,20.2
23022.0,12912,1,200,26.3
23022.0,12912,1,400,26.4
23022.0,12912,1,600,26.2
23022.0,12912,1,800,26.4
23022.0,12912,1,1000,26.2
23022.0,12912,1,1200,26.1
23022.0,12912,1,1400,26.3
23022.0,12912,1,1600,27.0
23022.0,12912,1,1800,26.9
23022.0,12912,1,2000,26.6
23022.0,12912,2,100,10.1
23022.0,12912,2,200,10.0
23022.0,12912,2,300,11.0
23022.0,12912,2,400,9.4
23023.0,17825,1,200,26.6
23023.0,17825,1,400,26.0
23023.0,17825,1,600,26.2
