Lote;Fecha;Turbidez;Viabilidad;Glucosa g/L;;;;;;
23019;21/03/2023 7:30;17,28;8,33E+06;1,74;;;;;;
23019;21/03/2023 11:00;17,28;1,40E+07;1,97;;;;;;
23019;21/03/2023 14:00;18,4;1,69E+07;1,92;;;;;;
23019;21/03/2023 18:00;19,76;2,47E+07;1,88;;;;;;
23019;22/03/2023 7:00;39,12;1,00E+08;1,57;;;;;;
23019;22/03/2023 11:30;51,12;1,34E+08;1,62;;;;;;
23019;22/03/2023 15:30;62,32;1,38E+08;1,44;;;;;;
23019;22/03/2023 18:30;69,6;1,77E+08;1,08;;;;;;
23019;22/03/2023 21:00;77,44;1,52E+08;0,98;;;;;;
23019;23/03/2023 6:30;91,2;1,85E+08;0,21;;;;;;
23020;21/03/2023 7:30;18,8;7,46E+06;1,75;;;;;;
23020;21/03/2023 11:00;19,6;1,37E+07;1,94;;;;;;
23020;21/03/2023 14:00;20,16;1,77E+07;1,92;;;;;;
23020;21/03/2023 18:00;21,44;2,48E+07;1,94;;;;;;
23020;22/03/2023 7:00;39,52;9,97E+07;1,70;;;;;;
23020;22/03/2023 11:30;52,72;1,37E+08;1,60;;;;;;
23020;22/03/2023 15:30;61,6;4,04E+09;1,43;;;;;;
23020;22/03/2023 18:30;70,16;1,59E+08;1,06;;;;;;
23020;22/03/2023 21:00;74,72;1,57E+08;1,06;;;;;;
23020;23/03/2023 6:30;91,2;1,80E+08;0,31;;;;;;
23021;22/03/2023 7:30;16,16;8,91E+06;1,73;;;;;;
23021;22/03/2023 11:30;16,48;1,12E+07;1,80;;;;;;
23021;22/03/2023 15:30;17,6;1,50E+07;2,04;;;;;;
23021;22/03/2023 18:30;19,2;2,46E+07;1,84;;;;;;
23021;22/03/2023 21:00;19,52;3,57E+07;1,98;;;;;;
23021;23/03/2023 7:30;34;9,15E+07;1,84;;;;;;
23021;23/03/2023 11:30;45,28;1,15E+08;1,62;;;;;;
23021;23/03/2023 14:30;54,24;1,59E+08;1,53;;;;;;
23021;23/03/2023 18:30;64,4;1,54E+08;1,28;;;;;;
23021;23/03/2023 21:00;70,88;1,73E+08;1,18;;;;;;
23021;24/03/2023 6:30;86,4;2,45E+08;0,28;;;;;;
23022;22/03/2023 7:30;18,48;7,85E+06;1,73;;;;;;
23022;22/03/2023 11:30;18,64;1,46E+07;2,02;;;;;;
23022;22/03/2023 15:30;19,84;2,07E+07;2,05;;;;;;
23022;22/03/2023 18:30;20,88;3,14E+07;1,79;;;;;;
23022;22/03/2023 21:00;21,84;4,03E+07;2,01;;;;;;
23022;23/03/2023 7:30;36,16;1,06E+08;1,85;;;;;;
23022;23/03/2023 11:30;47,04;1,48E+08;1,63;;;;;;
23022;23/03/2023 14:00;52,24;1,71E+08;1,70;;;;;;
23022;23/03/2023 18:30;61,84;1,83E+08;1,30;;;;;;
23022;23/03/2023 21:00;65,76;1,72E+08;1,19;;;;;;
23022;24/03/2023 6:30;83,2;2,29E+08;0,37;;;;;;
23023;28/03/2023 8:00;17,12;5,80E+06;1,80;;;;;;
23023;28/03/2023 12:00;17,52;1,12E+07;2,19;;;;;;
23023;28/03/2023 16:00;18,72;1,99E+07;2,15;;;;;;
23023;28/03/2023 20:00;19,84;3,23E+07;2,02;;;;;;
23023;29/03/2023 8:00;32,08;9,89E+07;1,90;;;;;;
23023;29/03/2023 12:00;39,92;1,36E+08;1,78;;;;;;
23023;29/03/2023 16:00;47,6;1,33E+08;1,65;;;;;;
23023;29/03/2023 20:00;55,28;1,14E+08;1,23;;;;;;
23023;30/03/2023 6:15;72,88;1,80E+08;0,69;;;;;;
23023;30/03/2023 7:30;73,2;1,95E+08;0,61;;;;;;
23023;30/03/2023 9:30;74,4;1,33E+08;0,52;;;;;;
23023;30/03/2023 12:00;81,6;2,12E+08;0,46;;;;;;
23024;28/03/2023 8:00;16,56;6,80E+06;1,79;;;;;;
23024;28/03/2023 12:00;16,72;1,25E+07;2,16;;;;;;
23024;28/03/2023 16:00;18,56;1,61E+07;2,12;;;;;;
23024;28/03/2023 20:00;19,6;3,43E+07;2,10;;;;;;
23024;29/03/2023 8:00;32,88;1,13E+08;1,85;;;;;;
23024;29/03/2023 12:00;44,16;1,18E+08;1,78;;;;;;
23024;29/03/2023 16:00;55,2;1,66E+08;1,54;;;;;;
23024;29/03/2023 20:00;65,68;1,85E+08;NaN;;;;;;
23024;30/03/2023 6:15;80,8;1,99E+08;0,48;;;;;;
23024;30/03/2023 7:30;78,96;2,43E+08;0,43;;;;;;
23024;30/03/2023 9:30;77,12;1,61E+08;0,44;;;;;;
23025;29/03/2023 7:30;17,2;6,27E+06;1,97;;;;;;
23025;29/03/2023 11:30;18,96;8,96E+06;1,94;;;;;;
23025;29/03/2023 15:30;19,6;1,89E+07;1,87;;;;;;
23025;29/03/2023 19:30;21,28;2,77E+07;1,80;;;;;;
23025;30/03/2023 8:00;37,12;9,81E+07;1,64;;;;;;
23025;30/03/2023 12:00;51,12;1,14E+08;1,59;;;;;;
23025;30/03/2023 16:00;58,88;1,65E+08;1,54;;;;;;
23025;30/03/2023 20:00;69,52;1,76E+08;1,16;;;;;;
23025;31/03/2023 6:15;84;2,03E+08;0,34;;;;;;
23025;31/03/2023 7:30;87,2;1,99E+08;0,21;;;;;;
23026;29/03/2023 7:30;18;5,31E+06;1,83;;;;;;
23026;29/03/2023 11:30;18,8;9,04E+06;2,11;;;;;;
23026;29/03/2023 15:30;19,2;1,67E+07;1,78;;;;;;
23026;29/03/2023 19:30;20,64;2,57E+07;1,84;;;;;;
23026;30/03/2023 8:00;33,2;9,89E+07;1,66;;;;;;
23026;30/03/2023 12:00;48,64;1,03E+08;1,72;;;;;;
23026;30/03/2023 16:00;54,08;1,22E+08;1,60;;;;;;
23026;30/03/2023 20:00;65,2;1,64E+08;1,37;;;;;;
23026;31/03/2023 6:15;79,6;2,05E+08;0,57;;;;;;
23026;31/03/2023 7:30;81,2;2,06E+08;0,41;;;;;;
23027;04/04/2023 10:30;16,88;5,53E+06;1,68;;;;;;
23027;04/04/2023 14:30;17,12;6,23E+06;1,90;;;;;;
23027;04/04/2023 18:30;17,088;1,20E+07;1,75;;;;;;
23027;05/04/2023 7:00;22,08;4,78E+07;NaN;;;;;;
23027;05/04/2023 11:00;26,56;6,78E+07;NaN;;;;;;
23027;05/04/2023 15:00;31,68;9,95E+07;NaN;;;;;;
23027;05/04/2023 19:00;40,4;1,31E+08;NaN;;;;;;
23027;06/04/2023 7:00;59,04;1,74E+08;NaN;;;;;;
23027;06/04/2023 10:00;66,08;2,18E+08;NaN;;;;;;
23027;06/04/2023 12:00;68,08;1,95E+08;0,84;;;;;;
23028;04/04/2023 10:30;18,56;5,15E+06;1,25;;;;;;
23028;04/04/2023 14:30;18,56;7,10E+06;1,86;;;;;;
23028;04/04/2023 18:30;18,88;1,12E+07;1,87;;;;;;
23028;05/04/2023 7:00;23,84;4,89E+07;NaN;;;;;;
23028;05/04/2023 11:00;28,08;6,97E+07;NaN;;;;;;
23028;05/04/2023 15:00;32,56;9,23E+07;NaN;;;;;;
23028;05/04/2023 19:00;40,32;1,39E+08;NaN;;;;;;
23028;06/04/2023 7:00;62,88;2,08E+08;NaN;;;;;;
23028;06/04/2023 10:00;65,52;1,99E+08;NaN;;;;;;
23028;06/04/2023 12:00;67,2;1,76E+08;0,91;;;;;;
23029;18/04/2023 8:00;16,96;5,55E+06;1,90;;;;;;
23029;18/04/2023 12:00;17,36;1,09E+07;NaN;;;;;;
23029;18/04/2023 16:00;18,4;1,51E+07;NaN;;;;;;
23029;18/04/2023 20:00;20,16;2,53E+07;NaN;;;;;;
23029;19/04/2023 6:00;32,56;9,17E+07;NaN;;;;;;
23029;19/04/2023 10:30;41,76;1,15E+08;NaN;;;;;;
23029;19/04/2023 14:30;53,84;1,43E+07;NaN;;;;;;
23029;19/04/2023 18:30;67,84;1,54E+08;NaN;;;;;;
23029;20/04/2023 6:00;85,6;2,00E+08;NaN;;;;;;
23029;20/04/2023 7:30;85,6;2,63E+08;0,22;;;;;;
23030;18/04/2023 8:00;19,36;5,44E+06;1,90;;;;;;
23030;18/04/2023 12:00;19,68;1,07E+07;NaN;;;;;;
23030;18/04/2023 16:00;20,48;1,48E+07;NaN;;;;;;
23030;18/04/2023 20:00;22,16;2,83E+07;NaN;;;;;;
23030;19/04/2023 6:00;34,24;8,27E+07;NaN;;;;;;
23030;19/04/2023 10:30;42,72;1,24E+08;NaN;;;;;;
23030;19/04/2023 14:30;53,36;1,29E+08;NaN;;;;;;
23030;19/04/2023 18:30;65,04;1,51E+08;NaN;;;;;;
23030;20/04/2023 6:00;81,6;1,74E+08;NaN;;;;;;
23030;20/04/2023 7:30;75,92;1,79E+08;0,09;;;;;;
23031;18/04/2023 8:00;18,64;5,34E+06;1,90;;;;;;
23031;18/04/2023 12:00;19,12;9,60E+06;NaN;;;;;;
23031;18/04/2023 16:00;19,92;1,53E+07;NaN;;;;;;
23031;18/04/2023 20:00;21,6;1,78E+07;NaN;;;;;;
23031;19/04/2023 6:00;33,04;7,30E+07;NaN;;;;;;
23031;19/04/2023 10:30;40,08;8,83E+07;NaN;;;;;;
23031;19/04/2023 14:30;52,32;1,25E+08;NaN;;;;;;
23031;19/04/2023 18:30;64,56;1,49E+08;NaN;;;;;;
23031;20/04/2023 6:00;85,6;1,91E+08;NaN;;;;;;
23031;20/04/2023 7:30;84;9,73E+07;0,34;;;;;;
23032;18/04/2023 8:00;18,88;5,44E+06;1,90;;;;;;
23032;18/04/2023 12:00;18,24;1,07E+07;NaN;;;;;;
23032;18/04/2023 16:00;19,76;1,61E+07;NaN;;;;;;
23032;18/04/2023 20:00;21,52;2,51E+07;NaN;;;;;;
23032;19/04/2023 6:00;33,04;8,13E+07;NaN;;;;;;
23032;19/04/2023 10:30;41,6;1,15E+08;NaN;;;;;;
23032;19/04/2023 14:30;51,44;1,06E+08;NaN;;;;;;
23032;19/04/2023 18:30;63,76;1,28E+08;NaN;;;;;;
23032;20/04/2023 6:00;78,4;1,83E+08;NaN;;;;;;
23032;20/04/2023 7:30;75,68;1,96E+08;0,40;;;;;;
23033;25/04/2023 13:00;17,84;5,71E+06;1,90;;;;;;
23033;25/04/2023 17:00;18,64;8,91E+06;NaN;;;;;;
23033;25/04/2023 21:00;19,28;1,45E+07;NaN;;;;;;
23033;26/04/2023 7:00;23,76;4,50E+07;NaN;;;;;;
23033;26/04/2023 11:00;28,32;7,67E+07;1,90;;;;;;
