Lote;Fecha;Turbidez;Viabilidad;
23019;2023-03-21 06:30:00;32,8;1,34E+08;
23020;2023-03-21 06:30:00;32,8;1,34E+08;
23021;2023-03-22 06:30:00;27,8;1,15E+08;
23022;2023-03-22 06:30:00;27,8;1,15E+08;
23023;2023-03-27 07:30:00;18,2;1,09E+07;
23023;2023-03-27 11:30:00;18,8;1,50E+07;
23023;2023-03-27 15:30:00;19,2;1,99E+07;
23023;2023-03-27 19:30:00;21,2;3,65E+07;
23023;2023-03-28 06:30:00;31,7;1,06E+08;
23024;2023-03-27 07:30:00;18,2;1,09E+07;
23024;2023-03-27 11:30:00;18,8;1,50E+07;
23024;2023-03-27 15:30:00;19,2;1,99E+07;
23024;2023-03-27 19:30:00;21,2;3,65E+07;
23024;2023-03-28 06:30:00;31,7;1,06E+08;
23025;2023-03-28 07:30:00;17,0;5,19E+06;
23025;2023-03-28 11:30:00;17,7;7,89E+06;
23025;2023-03-28 15:30:00;18,1;1,23E+07;
23025;2023-03-28 19:30:00;19,0;2,13E+07;
23025;2023-03-29 06:30:00;27,6;8,48E+07;
23026;2023-03-28 07:30:00;17,0;5,19E+06;
23026;2023-03-28 11:30:00;17,7;7,89E+06;
23026;2023-03-28 15:30:00;18,1;1,23E+07;
23026;2023-03-28 19:30:00;19,0;2,13E+07;
23026;2023-03-29 06:30:00;27,6;8,48E+07;
23027;2023-04-03 14:00:00;18,9;4,85E+06;
23027;2023-04-03 18:00:00;19,0;1,02E+07;
23027;2023-04-04 06:30:00;21,9;2,49E+07;
23027;2023-04-04 10:00:00;23,5;1,05E+08;
23028;2023-04-03 14:00:00;18,9;4,85E+06;
23028;2023-04-03 18:00:00;19,0;1,02E+07;
23028;2023-04-04 06:30:00;21,9;2,49E+07;
23028;2023-04-04 10:00:00;23,5;1,05E+08;
23029;2023-04-17 08:20:00;18,4;5,62E+06;
23029;2023-04-17 12:20:00;18,2;8,59E+06;
23029;2023-04-17 16:20:00;19,3;1,39E+07;
23029;2023-04-17 20:20:00;20,0;1,81E+07;
23029;2023-04-18 06:15:00;28,0;9,65E+07;
23030;2023-04-17 08:20:00;18,4;5,62E+06;
23030;2023-04-17 12:20:00;18,2;8,59E+06;
23030;2023-04-17 16:20:00;19,3;1,39E+07;
23030;2023-04-17 20:20:00;20,0;1,81E+07;
23030;2023-04-18 06:15:00;28,0;9,65E+07;
23031;2023-04-17 08:20:00;17,6;5,31E+06;
23031;2023-04-17 12:20:00;17,8;9,17E+06;
23031;2023-04-17 16:20:00;18,9;1,21E+07;
23031;2023-04-17 20:20:00;19,7;2,00E+07;
23031;2023-04-18 06:15:00;28,1;1,06E+08;
23032;2023-04-17 08:20:00;17,6;5,31E+06;
23032;2023-04-17 12:20:00;17,8;9,17E+06;
23032;2023-04-17 16:20:00;18,9;1,21E+07;
23032;2023-04-17 20:20:00;19,7;2,00E+07;
23032;2023-04-18 06:15:00;28,1;1,06E+08;
23033;2023-04-24 14:00:00;17,0;7,51E+06;
23033;2023-04-24 18:00:00;17,0;1,30E+07;
23033;2023-04-25 07:30:00;20,9;7,65E+07;
23033;2023-04-25 08:30:00;21,2;9,51E+07;
23033;2023-04-25 11:00:00;22,8;9,36E+07;
23033;2023-04-25 12:15:00;24,2;1,04E+08;
23034;2023-04-24 14:00:00;17,0;7,51E+06;
