Orden;Número material;Texto breve material;Lote;Cantidad entregada;Unidad de medida
200178572;123456;MATERIAL DESCRITION;23/019;13,800;L
200179217;123456;MATERIAL DESCRITION;23/020;13,600;L
200181620;123456;MATERIAL DESCRITION;23/021;13,500;L
200182428;123456;MATERIAL DESCRITION;23/022;13,800;L
200182429;123456;MATERIAL DESCRITION;23/023;13,700;L
200182430;123456;MATERIAL DESCRITION;23/024;13,700;L
200182431;123456;MATERIAL DESCRITION;23/025;13,700;L
200182432;123456;MATERIAL DESCRITION;23/026;13,800;L
200182433;123456;MATERIAL DESCRITION;23/027;13,700;L
200182434;123456;MATERIAL DESCRITION;23/028;13,700;L
200182435;123456;MATERIAL DESCRITION;23/029;13,700;L
200182436;123456;MATERIAL DESCRITION;23/030;13,900;L
200182437;123456;MATERIAL DESCRITION;23/031;13,800;L
200182440;123456;MATERIAL DESCRITION;23/032;13,700;L
200182441;123456;MATERIAL DESCRITION;23/033;13,800;L
200182442;123456;MATERIAL DESCRITION;23/034;13,800;L
200182443;123456;MATERIAL DESCRITION;23/035;13,800;L
200182444;123456;MATERIAL DESCRITION;23/036;13,700;L
200185569;123456;MATERIAL DESCRITION;23/038;14,000;L
200185570;123456;MATERIAL DESCRITION;23/039;13,700;L
200182445;123456;MATERIAL DESCRITION;23/040;13,800;L
200184533;123456;MATERIAL DESCRITION;23/041;13,800;L
200184534;123456;MATERIAL DESCRITION;23/042;13,700;L
200184603;123456;MATERIAL DESCRITION;23/043;13,700;L
200184604;123456;MATERIAL DESCRITION;23/044;13,700;L
200184605;123456;MATERIAL DESCRITION;23/045;13,800;L
200184606;123456;MATERIAL DESCRITION;23/046;0,000;L
200184607;123456;MATERIAL DESCRITION;23/047;0,000;L
200184609;123456;MATERIAL DESCRITION;23/048;13,800;L
200184610;123456;MATERIAL DESCRITION;23/049;13,700;L
200184611;123456;MATERIAL DESCRITION;23/050;13,800;L
200184612;123456;MATERIAL DESCRITION;23/051;13,700;L
200187023;123456;MATERIAL DESCRITION;23/053;13,800;L
200187024;123456;MATERIAL DESCRITION;23/054;13,700;L
200187025;123456;MATERIAL DESCRITION;23/055;13,700;L
200182448;123456;MATERIAL DESCRITION;23/057;13,700;L
200187026;123456;MATERIAL DESCRITION;23/056;13,700;L
200182446;123456;MATERIAL DESCRITION;23/061;13,700;L
