LOTE,Orden en el encadenado,LOTE parental,ID Bioreactor,Fecha/hora inicio,Fecha/hora fin,Volumen de inóculo utilizado,Turbidez inicio cultivo,Turbidez fin cultivo,Viabilidad inicial cultivo,Viabilidad final cultivo,ID Centrífuga,Centrifugación 1 turbidez,Centrifugación 2 turbidez,Producto 1,Producto 2
23019,1,0,14615,2023-03-21 07:30:00,2023-03-23 06:30:00,82.4,17.28,91.2,8330000.0,185000000.0,17825,26.8,21.5,1747.9,6.0
23020,1,0,14616,2023-03-21 07:30:00,2023-03-23 06:30:00,80.4,18.8,91.2,7460000.0,180000000.0,14246,29.8,12.9,1676.2,6.6
23021,1,0,13170,2023-03-22 07:30:00,2023-03-24 06:30:00,66.4,16.16,86.4,8910000.0,245000000.0,17825,28.6,20.2,1928.5,8.1
23022,1,0,14614,2023-03-22 07:30:00,2023-03-24 06:30:00,85.6,18.48,83.2,7850000.0,229000000.0,12912,26.3,9.4,1782.8,5.9
23023,1,0,14615,2023-03-28 07:27:00,2023-03-30 10:00:00,77.6,17.12,81.6,5800000.0,212000000.0,17825,26.6,20.6,1861.8,3.0
23024,1,0,14616,2023-03-28 07:24:00,2023-03-30 07:23:00,76.0,16.56,77.12,6800000.0,161000000.0,14246,24.6,10.4,2161.1,2.8
23025,1,0,13170,2023-03-29 07:09:00,2023-03-31 07:29:00,77.2,17.2,87.2,6270000.0,199000000.0,17825,31.0,28.6,2044.7,4.5
23026,1,0,14614,2023-03-29 07:29:00,2023-03-31 07:38:00,78.8,18.0,81.2,5310000.0,206000000.0,14246,26.7,10.9,2263.2,3.4
23027,1,0,14615,2023-04-04 10:32:00,2023-04-06 12:30:00,83.2,16.88,68.08,5530000.0,195000000.0,14246,26.5,9.6,1407.7,4.1
23028,1,0,14616,2023-04-04 10:34:00,2023-04-06 12:32:00,83.6,18.56,67.2,5150000.0,176000000.0,17825,27.0,11.8,1373.2,4.7
23029,1,0,13170,2023-04-18 07:30:00,2023-04-20 07:30:00,80.6,16.96,85.6,5550000.0,263000000.0,6379,28.3,13.4,2063.7,6.7
23030,1,0,14614,2023-04-18 07:30:00,2023-04-20 07:30:00,81.4,19.36,75.92,5440000.0,179000000.0,12912,29.2,9.2,2019.7,5.8
23031,1,0,14615,2023-04-18 07:30:00,2023-04-20 07:30:00,82.2,18.64,84.0,5340000.0,97300000.0,14246,28.2,11.8,1816.1,6.2
23032,1,0,14616,2023-04-18 07:30:00,2023-04-20 08:40:00,83.0,18.88,75.68,5440000.0,196000000.0,17825,28.2,29.7,1865.4,6.6
23033,1,0,14616,2023-04-25 12:30:00,2023-04-27 13:30:00,82.4,17.84,72.48,5710000.0,227000000.0,17825,28.4,15.3,1628.9,5.5
23034,1,0,14615,2023-04-25 12:30:00,2023-04-27 13:30:00,83.2,16.32,69.12,5520000.0,197000000.0,12912,23.3,15.4,1592.0,5.5
23035,1,0,14614,2023-04-25 07:45:00,2023-04-27 10:30:00,85.9,17.76,59.76,4240000.0,191000000.0,14246,25.2,14.8,1499.8,4.6
