LOTE,Fecha/hora inicio,Fecha/hora fin,PH linea 1,PH  Linea 2,PH linea 3,Turbidez linea 1,Turbidez linea 2,Turbidez linea 3,PH menor 1,PH menor 2
23023,2023-03-26 05:00:00,2023-03-26 05:00:00,5.496,5.504,5.52,28.32,27.92,32.0,5.496,5.504
23024,2023-03-26 05:00:00,2023-03-26 05:00:00,5.496,5.504,5.52,28.32,27.92,32.0,5.496,5.504
23025,2023-03-17 06:00:00,2023-03-17 06:00:00,5.48,5.52,5.52,26.56,27.52,26.4,5.48,5.52
23026,2023-03-17 06:00:00,2023-03-17 06:00:00,5.48,5.52,5.52,26.56,27.52,26.4,5.48,5.52
23027,2023-04-02 05:00:00,2023-04-02 05:00:00,5.384,5.44,5.4,33.84,30.56,32.48,5.384,5.4
23028,2023-04-02 05:00:00,2023-04-02 05:00:00,5.384,5.44,5.4,33.84,30.56,32.48,5.384,5.4
23029,2023-04-15 05:30:00,2023-04-15 05:30:00,5.52,5.52,,30.0,30.32,,5.52,5.52
23030,2023-04-15 05:30:00,2023-04-15 05:30:00,5.52,5.52,,30.0,30.32,,5.52,5.52
23031,2023-04-15 05:30:00,2023-04-15 05:30:00,5.52,5.512,,32.08,32.96,,5.512,5.52
23032,2023-04-15 05:30:00,2023-04-15 05:30:00,5.52,5.512,,32.08,32.96,,5.512,5.52
23033,2023-04-23 05:00:00,2023-04-23 05:00:00,5.448,5.456,5.392,28.08,28.24,29.44,5.392,5.448
23034,2023-04-23 05:00:00,2023-04-23 05:00:00,5.448,5.456,5.392,28.08,28.24,29.44,5.392,5.448
23035,2023-04-23 05:00:00,2023-04-23 05:00:00,5.52,5.52,,25.68,26.56,,5.52,5.52
23036,2023-05-20 05:00:00,2023-05-20 05:00:00,5.384,5.464,5.528,35.44,32.96,25.76,5.384,5.464
23037,2023-05-20 05:00:00,2023-05-20 05:00:00,5.384,5.464,5.528,35.44,32.96,25.76,5.384,5.464
23038,2023-05-21 05:00:00,2023-05-21 05:00:00,5.624,5.56,5.552,36.4,25.28,24.4,5.552,5.56
23039,2023-05-21 05:00:00,2023-05-21 05:00:00,5.624,5.56,5.552,36.4,25.28,24.4,5.552,5.56
23040,2023-05-28 05:00:00,2023-05-28 05:00:00,5.512,5.432,5.48,31.68,33.68,25.04,5.432,5.48
23041,2023-05-28 05:00:00,2023-05-28 05:00:00,5.512,5.432,5.48,31.68,33.68,25.04,5.432,5.48
23042,2023-05-29 05:00:00,2023-05-29 05:00:00,5.512,5.472,,24.8,27.12,,5.472,5.512
23044,2023-06-04 05:00:00,2023-06-04 05:00:00,5.488,5.552,,30.48,26.8,,5.488,5.552
23043,2023-06-10 05:00:00,2023-06-10 05:00:00,5.512,5.44,6.112,31.44,31.6,19.6,5.44,5.512
23045,2023-06-10 05:00:00,2023-06-10 05:00:00,5.512,5.44,6.112,31.44,31.6,19.6,5.44,5.512
23046,2023-06-11 05:00:00,2023-06-11 05:00:00,5.584,5.568,6.048,28.64,26.4,17.36,5.568,5.584
23047,2023-06-11 05:00:00,2023-06-11 05:00:00,5.584,5.568,6.048,28.64,26.4,17.36,5.568,5.584
23048,2023-06-18 05:00:00,2023-06-18 05:00:00,5.624,5.512,5.52,29.52,29.2,28.72,5.512,5.52
23049,2023-06-18 05:00:00,2023-06-18 05:00:00,5.624,5.512,5.52,29.52,29.2,28.72,5.512,5.52
23050,2023-06-19 05:00:00,2023-06-19 05:00:00,5.528,5.488,5.408,25.92,25.76,26.96,5.408,5.488
23051,2023-06-19 05:00:00,2023-06-19 05:00:00,5.528,5.488,5.408,25.92,25.76,26.96,5.408,5.488
23052,2023-06-24 05:00:00,2023-06-24 05:00:00,5.464,5.576,5.456,49.2,26.88,26.96,5.456,5.464
23053,2023-06-24 05:00:00,2023-06-24 05:00:00,5.464,5.576,5.456,49.2,26.88,26.96,5.456,5.464
23054,2023-06-25 05:00:00,2023-06-25 05:00:00,5.52,5.496,5.512,27.28,28.96,28.72,5.496,5.512
23055,2023-06-25 05:00:00,2023-06-25 05:00:00,5.52,5.496,5.512,27.28,28.96,28.72,5.496,5.512
23056,2023-07-01 05:00:00,2023-07-01 05:00:00,5.568,5.48,5.544,40.64,30.32,31.76,5.48,5.544
23957,2023-07-01 05:00:00,2023-07-01 05:00:00,5.568,5.48,5.544,40.64,30.32,31.76,5.48,5.544
23060,2023-07-02 05:00:00,2023-07-02 05:00:00,5.536,5.512,5.528,29.68,30.8,31.52,5.512,5.528
23061,2023-07-02 05:00:00,2023-07-02 05:00:00,5.536,5.512,5.528,29.68,30.8,31.52,5.512,5.528
23062,2023-07-08 05:00:00,2023-07-08 05:00:00,5.504,5.496,5.456,30.56,30.24,41.28,5.456,5.496
23063,2023-07-08 05:00:00,2023-07-08 05:00:00,5.504,5.496,5.456,30.56,30.24,41.28,5.456,5.496
23064,2023-07-09 05:00:00,2023-07-09 05:00:00,5.408,5.464,5.464,29.28,31.2,28.4,5.408,5.464
23065,2023-07-09 05:00:00,2023-07-09 05:00:00,5.408,5.464,5.464,29.28,31.2,28.4,5.408,5.464
23067,2023-07-15 05:00:00,2023-07-15 05:00:00,5.656,5.544,5.52,24.72,27.76,25.36,5.52,5.544
23068,2023-07-16 05:00:00,2023-07-16 05:00:00,5.64,5.624,5.584,26.24,35.28,26.48,5.584,5.624
23069,2023-07-16 05:00:00,2023-07-16 05:00:00,5.64,5.624,5.584,26.24,35.28,26.48,5.584,5.624
23066,2023-07-22 05:00:00,2023-07-22 05:00:00,5.44,5.52,5.464,30.96,33.68,29.52,5.44,5.464
23070,2023-07-22 05:00:00,2023-07-22 05:00:00,5.44,5.52,5.464,30.96,33.68,29.52,5.44,5.464
23071,2023-07-23 05:00:00,2023-07-23 05:00:00,5.472,5.48,5.496,27.52,26.56,30.48,5.472,5.48
23072,2023-07-23 05:00:00,2023-07-23 05:00:00,5.472,5.48,5.496,27.52,26.56,30.48,5.472,5.48
23073,2023-07-29 05:00:00,2023-07-29 05:00:00,5.52,5.52,5.504,31.52,30.56,34.24,5.504,5.52
23075,2023-07-29 05:00:00,2023-07-29 05:00:00,5.464,,,42.56,,,,
23074,2023-07-30 05:00:00,2023-07-30 05:00:00,5.52,5.52,5.504,31.52,30.56,34.24,5.504,5.52
23076,2023-07-30 05:00:00,2023-07-30 05:00:00,5.376,,,34.88,,,,
23077,2023-09-02 05:00:00,2023-09-02 05:00:00,5.424,5.44,,30.96,32.16,,5.424,5.44
23078,2023-09-02 05:00:00,2023-09-02 05:00:00,5.424,5.44,,30.96,32.16,,5.424,5.44
23079,2023-09-03 05:00:00,2023-09-03 05:00:00,5.312,5.424,5.456,50.64,27.68,41.04,5.312,5.424
