LOTE,Orden en el encadenado,LOTE parental,ID Bioreactor,Fecha/hora inicio,Fecha/hora fin,Volumen de inóculo utilizado,Turbidez inicio cultivo,Turbidez fin cultivo,Viabilidad inicial cultivo,Viabilidad final cultivo,ID Centrífuga,Centrifugación 1 turbidez,Centrifugación 2 turbidez,Producto 1,Producto 2,Temperatura almacén principal (inicio),Humedad almacén principal (inicio),Temperatura almacén producción (inicio),Humedad almacén producción (inicio),Temperatura almacén principal (fin),Humedad almacén principal (fin),Temperatura almacén producción (fin),Humedad almacén producción (fin)
23019,1,0,14615,2023-03-21 07:30:00,2023-03-23 06:30:00,82.4,17.28,91.2,8330000.0,185000000.0,17825,26.8,21.5,1747.9,6.0,20.60908508,35.333641,20.13707924,50.86805344,19.70124054,42.82769012,20.20399284,52.75969315
23020,1,0,14616,2023-03-21 07:30:00,2023-03-23 06:30:00,80.4,18.8,91.2,7460000.0,180000000.0,14246,29.8,12.9,1676.2,6.6,20.60908508,35.333641,20.13707924,50.86805344,19.70124054,42.82769012,20.20399284,52.75969315
23021,1,0,13170,2023-03-22 07:30:00,2023-03-24 06:30:00,66.4,16.16,86.4,8910000.0,245000000.0,17825,28.6,20.2,1928.5,8.1,20.47525787,36.64279556,20.00144577,52.35821533,20.35590363,32.89525118,20.2510128,49.51533508
23022,1,0,14614,2023-03-22 07:30:00,2023-03-24 06:30:00,85.6,18.48,83.2,7850000.0,229000000.0,12912,26.3,9.4,1782.8,5.9,20.47525787,36.64279556,20.00144577,52.35821533,20.35590363,32.89525118,20.2510128,49.51533508
23023,1,0,14615,2023-03-28 07:27:00,2023-03-30 10:00:00,77.6,17.12,81.6,5800000.0,212000000.0,17825,26.6,20.6,1861.8,3.0,20.54624286,34.78009033,20.34143448,49.78298569,19.19907264,34.30063791,19.79709244,47.63093185
23024,1,0,14616,2023-03-28 07:24:00,2023-03-30 07:23:00,76.0,16.56,77.12,6800000.0,161000000.0,14246,24.6,10.4,2161.1,2.8,20.54624286,34.78009033,20.34143448,49.78298569,19.28530121,29.53920746,20.40653992,47.88772964
23025,1,0,13170,2023-03-29 07:09:00,2023-03-31 07:29:00,77.2,17.2,87.2,6270000.0,199000000.0,17825,31.0,28.6,2044.7,4.5,21.9820438,35.86154556,20.25824547,49.78298569,19.57103729,37.70708489,20.40653992,49.85060817
23026,1,0,14614,2023-03-29 07:29:00,2023-03-31 07:38:00,78.8,18.0,81.2,5310000.0,206000000.0,14246,26.7,10.9,2263.2,3.4,21.9820438,35.86154556,20.25824547,49.78298569,19.30338287,36.8019371,20.34143448,50.18807602
23027,1,0,14615,2023-04-04 10:32:00,2023-04-06 12:30:00,83.2,16.88,68.08,5530000.0,195000000.0,14246,26.5,9.6,1407.7,4.1,21.40118408,27.14996695,20.40653992,43.5655365,22.31173395,24.41767883,20.06655121,39.38440323
23028,1,0,14616,2023-04-04 10:34:00,2023-04-06 12:32:00,83.6,18.56,67.2,5150000.0,176000000.0,17825,27.0,11.8,1373.2,4.7,21.40118408,27.14996695,20.40653992,43.5655365,21.92201996,24.16087914,20.32154274,39.24695969
23029,1,0,13170,2023-04-18 07:30:00,2023-04-20 07:30:00,80.6,16.96,85.6,5550000.0,263000000.0,6379,28.3,13.4,2063.7,6.7,23.35792542,35.57580948,20.00144577,49.5370369,23.24580383,29.79600716,20.34143448,44.921875
23030,1,0,14614,2023-04-18 07:30:00,2023-04-20 07:30:00,81.4,19.36,75.92,5440000.0,179000000.0,12912,29.2,9.2,2019.7,5.8,23.35792542,35.57580948,20.00144577,49.5370369,23.24580383,29.79600716,20.34143448,44.921875
23031,1,0,14615,2023-04-18 07:30:00,2023-04-20 07:30:00,82.2,18.64,84.0,5340000.0,97300000.0,14246,28.2,11.8,1816.1,6.2,23.35792542,35.57580948,20.00144577,49.5370369,23.24580383,29.79600716,20.34143448,44.921875
23032,1,0,14616,2023-04-18 07:30:00,2023-04-20 08:40:00,83.0,18.88,75.68,5440000.0,196000000.0,17825,28.2,29.7,1865.4,6.6,23.35792542,35.57580948,20.00144577,49.5370369,23.64727783,29.54282379,20.20399284,45.75014496
23033,1,0,14616,2023-04-25 12:30:00,2023-04-27 13:30:00,82.4,17.84,72.48,5710000.0,227000000.0,17825,28.4,15.3,1628.9,5.5,22.18945876,42.95428085,20.61631966,52.61863327,21.14438629,47.45303535,19.86762047,53.84837723
23034,1,0,14615,2023-04-25 12:30:00,2023-04-27 13:30:00,83.2,16.32,69.12,5520000.0,197000000.0,12912,23.3,15.4,1592.0,5.5,22.18945876,42.95428085,20.61631966,52.61863327,21.14438629,47.45303535,19.86762047,53.84837723
23035,1,0,14614,2023-04-25 07:45:00,2023-04-27 10:30:00,85.9,17.76,59.76,4240000.0,191000000.0,14246,25.2,14.8,1499.8,4.6,18.90914154,45.68781826,20.1171875,52.6222496,19.943573,50.90060806,19.93634224,55.15094798
